"","concepto","CMAC                      Arequipa","CMAC                      Cusco","CMAC Huancayo","CMAC                            Piura","year","mes"
"161","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",13.8447884763708,8.15655756841697,13.0755195752372,9.76808556619035,2020,6
"162","Utilidad Neta Anualizada sobre Activo Promedio (%)",1.71411306096454,1.17052081011523,1.60365731761775,0.997049357048869,2020,6
"163","Ratio de Capital Global",15.8,15.26,14.11,17.06,2020,7
"164","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",12.2297039337744,6.98502135984765,11.528543836251,7.40718539453663,2020,7
"165","Utilidad Neta Anualizada sobre Activo Promedio (%)",1.51455358788272,0.989121895151666,1.40882639202826,0.753726527803442,2020,7
"166","Ratio de Capital Global",15.88,15.26,14.52,17.61,2020,8
"167","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",10.8631640978414,5.8917334701923,9.81483477376779,6.37600362156976,2020,8
"168","Utilidad Neta Anualizada sobre Activo Promedio (%)",1.34505421123278,0.819634795341264,1.19414979774275,0.645499964701751,2020,8
"169","Ratio de Capital Global",16.1,15.05,14.51,17.76,2020,9
"170","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",9.50434229798405,4.77436621815222,8.1242029089805,5.65740703594559,2020,9
"171","Utilidad Neta Anualizada sobre Activo Promedio (%)",1.17092978920405,0.65346597804343,0.978642604339654,0.569592966465609,2020,9
"172","Ratio de Capital Global",15.8,14.45,14.33,17.22,2020,10
"173","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",6.69742221609107,3.84353374379424,6.99762548743811,4.4804105016997,2020,10
"174","Utilidad Neta Anualizada sobre Activo Promedio (%)",0.818776129081454,0.515649753781192,0.832825840292951,0.448046265406417,2020,10
"175","Ratio de Capital Global",15.59,14.16,15.01,17.04,2020,11
"176","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",4.93433714850343,2.93070533339144,5.20764956288057,3.70296254716884,2020,11
"177","Utilidad Neta Anualizada sobre Activo Promedio (%)",0.598063742397686,0.385573256626784,0.611614849976447,0.367667150855177,2020,11
"178","Ratio de Capital Global",16.19,13.84,14.75,17.18,2020,12
"179","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",4.4561334489377,2.0935380592085,5.13640956729173,3.4758737091105,2020,12
"180","Utilidad Neta Anualizada sobre Activo Promedio (%)",0.536365777380184,0.270058549685372,0.595323342455449,0.342672372789469,2020,12
"181","Ratio de Capital Global",15.4,14.05,14.82,17.12,2021,1
"182","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",3.36624313028422,1.36059591419182,4.62734534956966,3.99454295127045,2021,1
"183","Utilidad Neta Anualizada sobre Activo Promedio (%)",0.401964442452363,0.17270622051615,0.530536443929343,0.392150413248589,2021,1
"184","Ratio de Capital Global",15.5,13.99,14.91,17.65,2021,2
"185","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",2.60982951564122,0.720677124154322,3.71686995287072,3.65310108455851,2021,2
"186","Utilidad Neta Anualizada sobre Activo Promedio (%)",0.308671499177915,0.090037528658329,0.421196586451011,0.356886601210551,2021,2
"187","Ratio de Capital Global",18.13,13.97,15.08,17.2,2021,3
"188","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",2.34771063817345,0.611131508418522,5.49225108559613,2.75825496573043,2021,3
"189","Utilidad Neta Anualizada sobre Activo Promedio (%)",0.275232719629756,0.0748629409320709,0.615732159744235,0.267872870370957,2021,3
"190","Ratio de Capital Global",17.47,13.78,14.87,17.51,2021,4
"191","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",2.47742764783617,3.02275826328805,2.49863898071472,2.09786571786721,2021,4
"192","Utilidad Neta Anualizada sobre Activo Promedio (%)",0.289563389059743,0.363587314864471,0.276733562864381,0.202551384576116,2021,4
"193","Ratio de Capital Global",17.7,13.67,14.77,16.97,2021,5
"194","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",2.87526615329848,3.3588779924608,2.55065134898461,2.80493418494398,2021,5
"195","Utilidad Neta Anualizada sobre Activo Promedio (%)",0.335345723011599,0.397315072775031,0.279759614743273,0.270958392259701,2021,5
"196","Ratio de Capital Global",17.43,13.59,14.5,16.04,2021,6
"197","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",3.06669250325835,3.46780685692772,2.20510946697215,2.81745440674597,2021,6
"198","Utilidad Neta Anualizada sobre Activo Promedio (%)",0.356620629891778,0.40363098729647,0.239525386896487,0.273393413189652,2021,6
"199","Ratio de Capital Global",17.29,13.43,14.45,16.61,2021,7
"200","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",3.59989620375182,4.18171204142725,2.50738101077972,3.97147413056311,2021,7
"201","Utilidad Neta Anualizada sobre Activo Promedio (%)",0.415637458583106,0.48210037643262,0.270145700946695,0.388462306135847,2021,7
"202","Ratio de Capital Global",17.41,13.3,14.33,16.38,2021,8
"203","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",4.10054512631515,4.6791176338923,2.86094762274077,4.40805783783681,2021,8
"204","Utilidad Neta Anualizada sobre Activo Promedio (%)",0.470392358005237,0.535899563928056,0.305501881259843,0.435518230665345,2021,8
"205","Pasivo Total / Capital Social y Reservas ( Nº de veces )",8.25,8.39,8.58,8.72,2021,9
"206","Utilidad Neta Anualizada sobre Activo Promedio (%)",0.572827928361363,0.55476243248529,0.382557492729147,0.486971556426378,2021,9
"207",NA,NA,NA,NA,NA,2021,9
