"","Departamento","year","alumnosMatriculados","analfabetismo","compLectora","docentes","gastoPublico","matematica","pbiRegiones","pobTot","pobUrb","tasaConclusion","tasaDesnutricion","tasaMatricula","deaNaive","deaRobust","ciLow","ciHigh","docAlum","nivelUrb"
"41","Lambayeque","2016",69.63,6.48213409771047,13.7446811129057,11624,2900,11.1622514147294,29.4697294896448,1188820.8,962032.6,45.0841911378103,11.8,83.168996993395,0.926727099187287,0.8732023936926,0.843326010339503,0.921376155989699,10.7998178487849,80.9232644650902
"42","Lambayeque","2018",71.051,6.13132475561448,14.4150978345373,12159,3269.72548907659,12.4408166907599,31.4782987981159,1205699.2,980209.4,44.0506288097522,9.3,82.2242324119827,0.920714401923733,0.885889162140765,0.865169422268777,0.919391470813953,12.9661587399691,81.298005339972
"43","Loreto","2015",70.033,7.65323323174685,23.7197370288022,17009,2963.43595064838,1.32744921182609,22.831579311317,885154.4,597008,45.8152131761363,23.2004633678661,69.9162146310425,0.937537674580393,0.885361705494448,0.85242056957247,0.927570160064443,12.68079,67.4467640899712
"44","Loreto","2016",75.21,6.67259500939373,21.9367329891872,18710,3132,1.72221847937461,20.2190386523153,884332.2,601875.5,47.140768758319,23.618632024685,71.5430875104962,0.953418840242999,0.891421488557386,0.851076949224888,0.959587467265724,11.4014155042977,68.0598874495353
"45","Loreto","2018",83.497,6.41079887873306,24.9842919515266,19583,3867.40993302811,1.85478780783836,23.7538464811845,882687.8,611610.5,46.9700136068756,19.9686843295509,74.1319741394813,0.94938954432349,0.906208364140409,0.87789000460238,0.953356762884835,13.1191811575818,69.2895608164064
"46","Madre de Dios","2015",10.551,3.75592721050525,14.2706799957742,1959,4535.49736446352,4.37719220538974,6.2416321580455,134767,108538.6,53.5650704119114,10.2266502158176,85.0768633639174,0.96625996050369,0.918753579335853,0.890939503439404,0.962939251721916,11.29258,80.5379655256851
"47","Madre de Dios","2016",11.226,4.14466916712495,14.0249844251134,2139,5318,7.38764385223968,7.08443774219201,137918.5,112640.8,51.9821430309038,8.33440783995598,80.2649623627325,1,0.938116110056842,0.900308672379095,0.983555848205985,10.0551603615591,81.6720019431766
"48","Madre de Dios","2018",12.496,4.31839452066662,15.0328830150153,2398,7172.35952056586,6.70946651311701,5.99890423491927,144221.5,120845.2,47.5295521099639,7,87.444519564554,0.970849872745087,0.942324923607115,0.928552889995485,0.960112447592253,14.134328031713,83.791390326685
"49","Moquegua","2015",11.417,4.81054539766529,4.52671856943551,3089,4001.14270829883,17.067324604987,23.1220980177822,172197,146410.4,41.1971668992842,3.5,87.9272081270247,0.958929949979506,0.919554237894887,0.89897804862834,0.965473949245786,6.352596,85.0249423625266
"50","Moquegua","2016",11.656,4.52152196536673,4.29801048777144,3189,4664,24.31937121733,22.9672201344174,173530,149150.7,40.2559435281161,4.5,89.0415840418712,0.964891200939216,0.907847760314444,0.873937534006876,0.969735163429842,5.94741741223347,85.9509594882729
